,모집단위(주택군),주택열람가능여부,광역지자체,기초지자체,주소,동,호,공급형,성별용도구분,전용면적,주거공용면적,면적계,방수,층,승강기,주택유형,청년 1순위_기본임대보증금,청년 1순위_기본월임대료,청년 1순위_상한임대보증금,청년 1순위_하한월임대료,청년 1순위_임대료하한기준액,청년 1순위_계약금,청년 1순위_잔금,청년 2·3순위_임대보증금,청년 2·3순위_월임대료,청년 2·3순위_상한임대보증금,청년 2·3순위_하한월임대료,청년 2·3순위_임대료하한기준액,청년 2·3순위_계약금,청년 2·3순위_잔금,비고,호관리번호
24,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,619,단독(1인),남여공용,16.51,16.617,33.127,1,6층,Y,혼합형,"1,000,000","105,630","11,800,000","42,630","42,250",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","126,860","15,000,000","51,020","50,740",기본임대보증금의 10%,임대보증금-계약금,,P2820001801529
25,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,812,단독(1인),남여공용,20.42,20.552,40.972,1,8층,Y,혼합형,"1,000,000","138,210","15,200,000","55,370","55,280",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","167,050","19,100,000","67,300","66,820",기본임대보증금의 10%,임대보증금-계약금,,P2820001801558
26,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,901,단독(1인),남여공용,20.65,20.784,41.434,1,9층,Y,혼합형,"1,000,000","139,810","15,300,000","56,390","55,920",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","169,020","19,300,000","68,100","67,600",기본임대보증금의 10%,임대보증금-계약금,,P2820001801564
27,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,904,단독(1인),남여공용,19.49,19.616,39.106,1,9층,Y,혼합형,"1,000,000","131,740","14,500,000","52,990","52,690",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","159,080","18,300,000","63,990","63,630",기본임대보증금의 10%,임대보증금-계약금,,P2820001801567
28,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,1005,단독(1인),남여공용,19.49,19.616,39.106,1,10층,Y,혼합형,"1,000,000","131,740","14,500,000","52,990","52,690",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","159,080","18,300,000","63,990","63,630",기본임대보증금의 10%,임대보증금-계약금,,P2820001801582
29,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,615,단독(1인),남여공용,32.15,32.358,64.508,1,6층,Y,도시형생활주택(원룸형),"1,000,000","206,760","22,200,000","83,090","82,700",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","251,270","27,800,000","100,770","100,500",기본임대보증금의 10%,임대보증금-계약금,,P2820001811594
30,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 예술로226번길 12(구월동) 드림타운 * 주차협소,,204,단독(1인),남여공용,29.9515,12.7015,42.653,1,2층,Y,혼합형,"1,000,000","175,660","19,000,000","70,660","70,260",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","212,670","23,800,000","85,500","85,060",기본임대보증금의 10%,임대보증금-계약금,"주차공간 협소, 
차량소유자 신청 지양",P28200A0052176
31,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 예술로226번길 12(구월동) 드림타운 * 주차협소,,503,단독(1인),남여공용,29.9515,12.7015,42.653,1,5층,Y,혼합형,"1,000,000","175,660","19,000,000","70,660","70,260",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","212,670","23,800,000","85,500","85,060",기본임대보증금의 10%,임대보증금-계약금,"주차공간 협소, 
차량소유자 신청 지양",P28200A0052193
32,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 용천로4번길 63-5(구월동) ,,202,1형,남여공용,18.04,5.8,23.84,1,2층,N,다가구주택,"1,000,000","154,520","16,800,000","62,350","61,800",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","185,970","21,100,000","74,550","74,380",기본임대보증금의 10%,임대보증금-계약금,,PRM05400100080
33,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 용천로4번길 63-5(구월동) ,,205,1형,남여공용,18.53,5.958,24.488,1,2층,N,다가구주택,"1,000,000","157,390","17,100,000","63,470","62,950",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","189,500","21,400,000","76,330","75,800",기본임대보증금의 10%,임대보증금-계약금,,PRM05400100083
